Competitor,Title,Link,Snippet
TCS,TCS and Virgin Media O2 Win the GSA Professional Award ...,https://www.tcs.com/who-we-are/newsroom/press-release/tcs-virgin-media-o2-win-gsa-professional-award-2022,"The partnership assisted Virgin Media O2 in achieving 'zero' lost customer hours, a measure of telecom connectivity during critical incidents, ..."
TCS,TCS named Official Technology Partner for Virgin Money ...,https://www.tcs.com/who-we-are/newsroom/press-release/official-technology-partner-for-virgin-money-london-marathon,TCS announces a three year partnership with the Virgin Money London Marathon to enhance the digital experience delivered to marathon participants.
TCS,TCS and Virgin Media O2 Win the GSA Professional Award ...,https://www.bseindia.com/xml-data/corpfiling/AttachHis//d39a4e57-8ebf-48a7-99cc-e23d5716717e.pdf,"The partnership assisted Virgin Media O2 in achieving 'zero' lost customer hours, a measure of telecom connectivity during critical incidents, ..."
TCS,Virgin Atlantic Partners with TCS to Power Recovery and ...,https://www.tcs.com/who-we-are/newsroom/press-release/virgin-atlantic-partners-with-tcs-to-power-recovery-transformation-led-growth,TCS will innovate cloud first digital solutions as the exclusive technology partner of Virgin Atlantic.
TCS,Highlights from TCS Virgin Media Innovation Day | We ...,https://www.facebook.com/TataConsultancyServices/videos/highlights-from-tcs-virgin-media-innovation-day/839018506510622/,We recently celebrated 15 years of successful partnership with Virgin Media at the TCS-Virgin Media Innovation Day in London.
Wipro,The Digital Dilemma: Telecoms firms prepare for the future,https://www.wipro.com/content/dam/nexus/en/industries/communication-service-providers/latest-thinking/the-digital-dilemma-EIU-Wipro.pdf,The digital dilemma: Telecoms firms prepare for the future is an Economist Intelligence Unit. (EIU) report commissioned by WIPRO. The report strives to identify ...
Wipro,Network — Software Defined Solutions and Services,https://www.wipro.com/content/dam/nexus/en/analyst-speak/pdfs/network-software-defined-solutions-and-services-uk.pdf,"Virgin Media O2 Business provides holistic managed WAN services and, occasionally, it utilises partner capabilities in the form of partial, or whole, products."
Wipro,Virgin Media Partnerships,https://www.partnerbase.com/virgin-media,"Virgin Media has 23 partners, 11 are technology partners and 12 are channel partners. Hewlett Packard Enterprise is its largest partner."
Wipro,Wipro Partner Ecosystem: Driving Innovation and Business ...,https://www.wipro.com/partner-ecosystem/,"The Wipro Partner Ecosystem helps create unique winning partnerships that offer mutual business growth opportunities, joint value driven by collaboration."
Wipro,Wipro and Tech-M back grand designs for O2 architecture,https://www.telcotitans.com/telefonicawatch/wipro-and-tech-m-back-grand-designs-for-o2-architecture/2888.article,Wipro and Tech-M back grand designs for O2 architecture · O2 aiming to halve product development times and shave a third off IT costs with a ...
